name,address,score,comment_number,price,location
林木森驿站(重庆北碚步行街中心店),北碚区胜利街1号附13号，近北碚地铁终点站2号出口。  ,4.4,188,224,北碚区
重庆如家客栈,璧山区镇政府保利电影院楼上4楼，近广场大厦。  ,3.9,40,78,北碚区
重庆颂棠别院,大足区佛都大道216号昌州古城14号楼C05，近676县道。  ,4.6,419,129,大足区
奉节依斗门客栈,奉节诗城东路131号，近诗城博物馆。  ,4.6,91,142,奉节县
重庆武陵山枳人客栈,涪陵区武陵山大裂谷景区，近武陵山森林公园。  ,4.8,153,376,涪陵区
重庆般若静舍客栈,江北区江北农场宏帆路星辰苑，近北滨路。  ,4.6,562,190,江北区
重庆镜域旅游俱乐部酒店,江北区观音桥朗晴广场A塔29楼，近观音桥步行街。  ,4.7,402,166,江北区
重庆明然玥客栈,江北区观音桥北城天街35号同创国际商业街4楼，九街高屋对面，近洋河路。  ,4.6,875,242,江北区
重庆瓦舍美宿客栈,江北区观音桥红鼎国际B座2单元17楼1711，近建新北路。  ,4.8,115,248,江北区
重庆四面山龙腾客栈,江津区重庆市 江津区 四面山镇龙潭路(家园超市斜对面)。  ,3.8,65,145,江津区
重庆四面山天然居山庄,江津区四面山洪洞村一社（江津区，近四面山派出所） ,4.3,46,125,江津区
重庆香山农庄,江津区四面山风景区大洪湖景点停车场旁，大洪湖码头旁。  ,4.8,93,190,江津区
重庆倦鸟驿站,开州区滨湖中段7号商务楼，无。  ,4.6,80,292,开州区
梁平平野园林大酒店,梁平区梁山街道八角村，近梁平机场、机场环线。  ,4.7,141,188,梁平区
重庆和悦庄客栈,南岸区南坪西路68号，近花园路。  ,4.8,389,439,南岸区
重庆江涛客栈,南岸区南坪东路31号二楼，女子医院斜对面。  ,3.2,135,30,南岸区
重庆尚玉客栈,南岸区学府大道323号，近工商大学。  ,3.9,61,57,南岸区
重庆隐约南山客栈,南岸区重庆南岸区南山抗战遗址博物馆旁南山公园路1号。  ,4.0,43,372,南岸区
重庆阿川雅阁风情客栈,南川区金佛山西坡三汇场，近卫生院二分院。  ,4.1,71,134,南川区
重庆金佛山9号客栈,南川区金佛山西坡天星小镇9号楼，近天星小镇游客服务中心。  ,3.9,59,138,南川区
重庆金佛山小桥流水人家客栈,南川区金佛山西坡三汇场，近石林村。  ,4.4,158,209,南川区
重庆金佛山印象天星风情客栈,南川区天星小镇，近金佛山西大门。  ,4.1,51,181,南川区
重庆美都驿栈,南川区金佛山西坡三汇场，近金佛山西大门。  ,4.2,107,188,南川区
重庆乡土风情客栈,南川区金佛山西坡三汇场，近金佛山西大门。  ,4.1,55,89,南川区
重庆鑫源居客栈,南川区金佛山西坡三汇场三汇路89号，近金佛山西大门。  ,4.6,113,143,南川区
彭水阿依河山庄,彭水阿依河景区大门旁，近阿依河社区。  ,3.4,94,143,彭水苗族土家族自治县
重庆黑山千缘客栈,綦江区万盛经开区黑山旅游景区北门接待中心紫薇5路5栋，近414省道。  ,4.7,67,113,綦江区
重庆黑山小筑客栈,綦江区万盛经开区黑山谷南大门售票厅旁，黑山谷南门。  ,4.0,63,238,綦江区
重庆山谷人家农家乐,綦江区黑山谷商业购物街B栋，近黑山谷售票处。  ,4.0,46,168,綦江区
重庆万盛黑山谷南门秀容宾馆,綦江区万盛江流西路31号，近414省道。  ,3.1,34,76,綦江区
重庆诚悦庄客栈,黔江区濯水镇濯水居委五组4幢龚家大院内，近镇政府。  ,4.6,108,196,黔江区
重庆蹲趴背包客栈,沙坪坝区天陈路二号世源大厦，近三峡广场步行街。  ,4.5,338,36,沙坪坝区
嘉古院客栈(重庆磁器口古镇店),沙坪坝区磁器口古镇横街16号，近动感影院。  ,3.3,458,171,沙坪坝区
重庆U城客栈,沙坪坝区大学城北路94号U城天街。  ,4.6,106,80,沙坪坝区
重庆七号花园客栈,九龙坡区香榭丽街半山七号（九龙坡区，近烟灯山公园） ,4.8,49,133,沙坪坝区
重庆融汇泉·别院,沙坪坝区梨树湾融汇温泉城汇泉路6号，近融汇温泉。  ,4.8,406,1614,沙坪坝区
重庆世茂客栈,沙坪坝区磁器口正街88号，近磁童路。  ,4.3,164,133,沙坪坝区
石柱黄水水云间客栈,石柱黄水莼乡路285号27幢1-1（石柱，近黄水景区） ,4.7,37,780,石柱土家族自治县
石柱小鸟金山客栈,石柱南宾镇人民街（石柱，近玉带北街） ,2.0,51,107,石柱土家族自治县
重庆安居古城南大门客栈,铜梁区安居古城南大门（铜梁区，近古城游客接待中心） ,4.3,46,116,铜梁区
